k,n1,n2,a1,a2,a3,a4,a5,a6,a7,a8,n3,n4,a9,a10
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
王,王子,,爱上王子的,献给王子的,侍奉王子的,,,,,,王子,,,
王,皇女,女王,爱上王女的,献给皇女的,献给女王的,侍奉女王的,,,,,公主,,,
王,姬,贵妇人,夺取公主的,爱上公主的,夺取贵妇人的,献给贵妇人的,侍奉公主的,供贵妇人使用的,,,,,,
王,王国,国,构筑国家的,倾国的,救世的,,,,,,王国,,,
王,帝国,无政府,反政府的,,,,,,,,帝国,,,
具,剑,大剑,为剑而生的,挥剑的,,,,,,,剑,刀刃,,
具,斧,,持斧的,挥斧的,,,,,,,斧头,,,
具,枪,,持枪的,挥枪的,,,,,,,长矛,,,
具,弓,,以弓为生的,搭弓挽箭的,,,,,,,弓,,,
具,矢,,射出箭矢的,,,,,,,,箭,,,
具,锤,,大锤,挥锤的,,,,,,,锤子,,,
具,短剑,小剑,持有短剑的,刺击的,,,,,,,匕首,,,
具,盾,,持盾的,,,,,,,,盾,防卫者,,
具,枪械,子弹,举枪相向的,,,,,,,,枪械,巴雷特,,
具,刃,刀,挥动刀刃的,,,,,,,,刀,,,
形,,,糟糕的,过于糟糕的,很危险的,危险的,,,,,危险,,高风险的,
形,,,惊人的,过于厉害了的,太厉害的,特别,非常,不算惊人的,出乎意料的,,,,超级,过度的
形,,,绝对的,唯一的,别无仅有的,绝对是,绝对,必然,,,唯一,,有限的,绝对的
形,无双,,无双的,无二的,无以伦比的,,,,,,,,无可比拟的,
形,温和,,温柔的,过于温柔的,太过温柔的,,,不温柔的,,,温柔,,绅士的,
形,悲伤,,悲伤的,过于悲伤的,太过悲伤的,悲哀的,不悲哀的,没有悲伤的,,,悲哀,,难过的,
形,空虚,,空虚的,过于空虚的,虚度的,无意义的,空虚,,,,空乏,,贫瘠的,空乏的
形,快乐,,快乐的,过于快乐的,愉快的,愉悦的,不快乐的,没有快乐的,,,欢乐,,欢乐的,充满乐趣的
形,憎恨,憎恶,可憎的,被憎恨的,被讨厌的,,,,,,讨厌,,,
形,精彩,,精彩的,过于精彩的,精彩,不寻常的,精彩无比,不精彩的,,,,,酷炫的,荣耀的
形,虚幻,苦闷,虚幻的,难舍难分的,,,,,,,,,酷炫的,荣耀的
形,,,无聊的,过于无聊的,,无趣的,微不足道的,不无聊的,,,无聊,,无聊的,无趣的
形,可爱,,可爱的,过于可爱的,超可爱的,,,不可爱的,,,小可爱,,漂亮的,娇俏的
形,妖艳,,妖艳的,妖媚的,可疑的,,,,,,,,,
形,,,白发的,金发的,黑发的,赤发的,银发的,,,,,,,
形,寂静,,寂静的,安静的,躁乱的,狂野的,,,,,沉默,,无声的,
形,,,最棒的,最棒,,,,,,,,,,
形,,,最差劲的,最差,,,,,,,,,,
形,恐怖,,可怕的,恐惧的,动摇的,颤动的,,,,,恐惧,,,
形,悲剧,,,,,,,,,,,,,
形,发怒,愤怒,生气的,愤怒的,被激怒的,怒火的,发火的,,,,生气,,怒火的,
形,,,果然的,必然的,结果还是,无论如何都是,最终的,终末的,重新再,尽管如此也,,,,
形,,,崭新的,换汤不换药的,总是崭新的,,,,,,中立,,,
